2024年入库科技型中小企业名单（以下数据仅限于科技型中小企业评价工作的相关应用，严禁数据公开或用于其他任何非授权目的）,,,,,
10,郑州敏捷物流有限公司,郑州经济技术开发区航海东路1507号1号楼13层1302号,是,道路普通货物运输、仓储服务、货运代理、供应链物流管理一体化服务、三方物流服务、干线运输、支线配送,
11,河南万威工艺品有限公司,河南省漯河市临颍县产业集聚区鑫达富美园区1栋（临颍县）,是,工艺礼品、办公用品、文体用品、日用百货的销售；广告设计制作代理发布；电信业务服务,
12,河南大商政通信息技术有限公司,河南省郑州市登封市卢店街道中禾科创园9号楼三单元二层,是,人工智能应用软件开发、信息系统集成服务、人工智能公共服务平台技术咨询服务、计算机软硬件研发销售,
13,郑州市东鼎干燥设备有限公司,河南省郑州市航空港区华夏大道345号,是,干燥设备、环保设备及配件的生产、安装、销售；煤泥烘干机、褐煤烘干机等工业烘干设备的研发制造,
14,河南华远塑业有限公司,河南省平顶山市鲁山县库区乡婆娑村,是,PVC、MPP、PPR、PE等塑料管材及电力电缆保护管的生产销售；塑料管附件制造、管道安装,
15,新乡市博慧财税咨询有限公司,河南省新乡市平原示范区长江大道29号正弘湾63号楼2楼,是,财务咨询、税收咨询、代理记账、工商注册代理、财税代理,
16,河南高恒智能科技有限公司,中国（河南）自由贸易试验区洛阳片区高新区华夏路6号洛阳中科科技园1幢3019室,是,智能设备、机械自动化设备研发生产销售；计算机软件开发；物联网技术服务；冶金专用设备制造；工业机器人研发,
17,郑州古龙泉机械铸造有限公司,河南省郑州市上街区峡窝镇马固村西开发区,是,铸铁件、铸钢件、球铁件、锰钢件等消失模工艺铸件及砂型工艺铸件的生产加工,
18,河南固强电力器材有限公司,河南省漯河市召陵区经济技术开发区珠江路,是,电力铁附件、电力标准金具、电力杆塔、通讯塔、变电站构架、铁塔防盗器材、高低压成套开关设备、变压器生产销售,
19,河南省未来通信科技有限公司,河南省郑州市金水区花园路27号河南省科技信息大厦20楼2001-2012室,是,基础电信业务、增值电信业务；通信设备安装维护；通信信息网络系统集成；建筑智能化工程；安全技术防范工程设计施工,
20,河南中平云能新能源科技有限公司,河南省郑州市郑东新区龙子湖智慧岛平安大道南、湖心岛路东博雅广场1号楼8层805、806号,否（河南信产投控股子公司，国有控股）,新能源汽车综合服务平台运营、智能网联汽车大数据服务、数字技术服务、软件开发、信息系统集成服务、数据处理服务,"控股股东为国有资本‌：该公司由‌河南数据集团有限公司‌（持股45.9%）和‌河南中平创能科技发展有限公司‌（持股44.1%）等共同持股，其中河南数据集团有限公司隶属于豫信电子科技集团，而豫信电子科技集团是河南省属‌国有独资企业‌‌‌
。
‌官方明确企业性质‌：多个权威企业信息平台（如爱企查、天眼查）均将该公司标注为“‌国有企业‌”‌‌
。
‌所属集团背景‌：作为豫信电子科技集团旗下的成员企业，其最终控制人为河南省人民政府国有资产监督管理委员会，符合《企业国有资产法》对国有企业的定义‌‌
"
21,河南策言网络科技有限公司,河南省郑州市管城回族区紫荆山路西法院东街南兴达国贸13层1323号,是,网络科技技术开发、软件开发、网站建设、平面设计、企业营销策划、影视制作、广告代理发布,
22,郑州金欧焊业有限公司,河南省郑州市新郑市中德产业园88号厂房,是,钎焊材料、银焊条、银焊环、银焊丝、铜焊条、金属焊膏、药芯焊丝、非晶焊片的生产加工与销售,
23,桐柏县鑫茗农业有限公司,河南省南阳市桐柏县安棚镇胡岗村,是,茶叶种植、生产、加工、销售；农作物、蔬菜、花卉、苗木种植销售；水产养殖销售；农产品技术开发推广,
24,郑州鼎盛高新能源工程技术有限公司,河南省郑州市荥阳市金寨乡金寨村,是,建筑垃圾资源化利用成套装备制造；水煤浆成套设备、煤气发生炉、水泥机械产品的生产销售；新兴能源技术研发,
25,新乡市立夏过滤技术有限公司,河南省新乡市新乡经济技术开发区纬三路智能制造产业园三号,是,液压动力机械及元件制造销售；气体液体分离及纯净设备制造销售；过滤净化设备研发生产,
26,焦作市金厨食品有限公司,河南省焦作市工业路45号（焦作市解放区）,是,调味品和四大怀药研发；食品生产销售；土特产品销售,
27,郑州羿海信息技术有限公司,河南省郑州市金水区健康路168号华林广场B栋5楼A座,是,网站建设服务、VR全景拍摄制作、互联网项目策划与运维、软件开发、数据库开发维护、互联网版权及知识产权服务,
28,洛阳美航科技股份有限公司,河南省洛阳市洛龙区科技工业园区关林西路19号倒班楼214,是,汽车零部件、工程塑胶件、轴承、金属加工机械的制造；汽车悬架轴承研发；水性防锈底漆销售,
29,三门峡富达水泥制品有限责任公司,河南省三门峡市陕州区菜园乡工业园区,是,预应力电杆、非预应力电杆、水泥制品的生产和销售,
30,焦作方鑫隆实业有限责任公司,河南省焦作市修武县七贤镇（原方庄镇）,是,U型钢支架、矿工钢支架、锚杆、矿车、喷射机、金属焊网、锚固剂、高分子围岩加固材料、中空注浆锚索等煤矿支护产品生产,
31,河南玉兰光电股份有限公司,河南省新乡市封丘县产业集聚区工业三路17号,是,PE表面保护膜、功能膜的研发、生产和销售；石墨烯产品、光学膜、PET离型膜、硅胶抗静电保护膜等光电保护薄膜制品制造,
32,河南三木品牌设计有限公司,河南省郑州市郑东新区明理路266号正商木华广场2号楼3层308号,是,室内外装饰设计工程、品牌设计、家具设计、建筑装饰工程、智能化工程施工；办公家具、建筑材料销售,
33,河南博展汽车销售服务有限公司,河南省郑州市中牟县汽车工业园区康平路5号,是,汽车销售、新能源汽车销售、汽车零配件销售、汽车装饰服务、机动车维修、汽车租赁、汽车信息咨询服务,
34,郑州蓝博电子技术有限公司,河南省郑州市金水区农业路60号附2号,是,医院管理软件研发、销售、实施和服务；医疗信息化整体解决方案；HIS系统、EMR系统、LIS系统、PACS系统等医疗信息系统开发,
35,洛阳市兽药厂,河南省洛阳市偃师区槐新街道办事处车站路11号,是,兽用水针剂、粉散剂、消毒剂、中药提取、预混剂、颗粒剂、饲料添加剂的生产销售,
36,河南英特电气设备有限公司,郑州高新技术产业开发区莲花街316号5幢21层89号,是,气体检测仪器的开发、生产、销售、技术服务；仪器仪表、环保设备、机电设备、安防监控设备的研发生产,
37,禹州市恒利模具有限公司,河南省许昌市禹州市韩城办事处韩城路31号,是,双瓮式化粪池模具、塑料模具的设计加工；模具、机械配件、钢材、五金制品、塑料制品加工及销售,
38,沃力特电力科技集团有限公司,河南省郑州市高新区冬青街58号3号楼,是,高低压输配电及输变电控制设备、智能型高低压开关及控制系统、变压器、电力互感器、电能计量箱、配电自动化设备的研发设计生产销售,
39,郑州骁龙智能科技有限公司,郑州高新技术产业开发区翠竹街总部企业基地一期10号楼405号,是,自动化控制系统软硬件设计开发；高低压电器、工控仪器仪表、智能家居产品销售；计算机软件开发及维护；智能监控系统研发集成,
40,郑州朴华科技有限公司,河南省郑州市荥阳市郑上路与商隐路交叉口向北200米路西,是,环保设备研发、设计、生产、销售；布袋除尘器、脉冲除尘器等车间除尘设备制造；工业污染治理、有机废气处理、粉尘治理,
41,河南锐博医药科技有限公司,河南省郑州市金水区国基路7号花园SOHO3栋B座5层创客佳孵化器E组91号,是,医药科技研发；第一、二、三类医疗器械销售；计算机软件及电子产品销售；医疗设备安装维修及技术服务,
42,河南博特高新材料有限公司,河南省郑州市中原区百花路19号6号楼锦绣华庭B座1206号,是,新材料技术开发；耐磨性、耐腐蚀性材料技术开发及制造；金属制品制造；耐磨板、耐磨管道维修；机械设备及配件销售,
43,河南省泽浩润禾信息科技有限公司,河南省郑州市中原区陇海路南、桐柏路东中原新城C区4号楼3612号,是,智能设备、干燥设备、电气自动化设备研发销售；计算机软件开发；物联网技术服务；智慧园区综合服务；监控视频接入服务,
44,河南知真信息技术有限公司,河南省郑州市高新技术产业开发区莲花街221号第19幢1-3层,是,气象领域软硬件研发、销售、实施、服务；信息系统集成；测绘服务；气象预警信息发布系统建设；信息技术解决方案服务,
45,中科华水工程管理有限公司,河南省郑州市金水区金成时代广场9号楼18层,是,工程招标代理、工程造价咨询、工程监理、政府采购招标代理、水土保持技术咨询、建设项目水资源论证、水文水资源调查评价,
46,智鸟科技有限公司,河南省郑州市金水区宝瑞路115号河南省信息安全产业示范园6号楼4层01号,是,企业管理咨询、商务秘书服务、会议及展览服务、市场营销策划、信息技术咨询服务,
47,禹州市陈龙发制品有限公司,河南省许昌市禹州市禹王大道99号721房间,是,发制品生产销售；包装制品加工销售；机械配件加工销售,
48,河南万达工业智能装备有限公司,河南省周口市沈丘县沙北产业集聚区槐园路6号,是,农化全自动制剂设备研发、制造、销售；石油、面粉、化工、食用油、农药等制剂加工设备制造；机械设备研发及销售,
49,河南省郭记面业有限公司,河南省周口市鹿邑县马铺镇食品（面粉）工业园经济开发区,是,小麦粉加工销售、粮食收购销售、农作物种植销售、农产品初加工销售；面粉系列产品生产,
50,河南省吨源种业有限公司,河南省驻马店市纬五路东段（驻马店市驿城区）,是,农作物种子的繁育、生产、销售；小麦、玉米、芝麻等农作物种子经营；引种、育种,
51,河南省华科光电技术有限公司,河南自贸试验区郑州片区（郑东）郑东新区商都路100号2号楼1单元21层2102号,是,,
52,郑州博特硬质材料有限公司,河南省郑州市中原区雪松南路23号,是,,
53,郑州市卓轩电子科技有限公司,河南省郑州市金水区南阳路324号院1号楼13层1332号,是,,
54,河南睿腾医创软件技术有限公司,郑州高新技术产业开发区西三环路279号国家大学科技园东区13号楼19层77,是,,
55,金豆豆互联网有限责任公司,郑州市金水区东三环鸿宝路金科智汇谷七号楼三层,是,,
56,禹州市瑞昂发制品有限公司,河南省许昌市禹州市颍川办柏山路185号,是,,
57,洛阳市胜威轴承配件有限公司,洛阳市洛龙区李楼乡向阳村,是,,
58,郑州目知眼见信息科技有限公司,河南省郑州市高新技术产业开发区莲花街221号第19幢1-3层,是,,
59,新乡市百合光电有限公司,河南省新乡市红旗区东卓路9号新东光电信息产业园,是,,
60,郑州基正科技有限公司,河南省郑州市金水区东风路街道天明路86号凯瑞大厦3楼303,是,,
61,郑州友泰健康科技有限公司,河南省自贸试验区郑州片区（郑东）普济路与福禄街交叉口连邦大厦2215号,是,,
62,河南翼宣科技有限公司,郑州市金水区农业路东1号豫博大厦6楼613号,是,,
63,河南九州慧康科技有限公司,郑州市金水区中州大道西农业路北苏荷公寓28层2806号,是,,
64,河南锐工电子科技有限公司,河南省郑州市金水区东风路28号院21号楼9层908号,是,,
65,河南锦华肉制品有限公司,郑州市郑东新区农业东路96号2号楼11层71号,是,,
66,河南省中和信医用设备有限公司,河南省郑州市金水区宝瑞路116号,是,,
67,河南贝尔德电气设备有限公司,河南省郑州市高新技术产业开发区长椿路11号5幢D单元2层D2号,是,,
68,河南数智谷科技集团有限公司,河南省新乡市牧野区建设东路84号,是,,
69,河南省昊德康医疗器械有限责任公司,安阳市滑县产业集聚区标准化厂房2期32号,是,,
70,河南北清同创信息科技研究院有限公司,郑州高新技术产业开发区西三环路283号11号楼13层87号,是,,
71,河南中天亿科电子科技有限公司,河南省郑州市上街区中心路街道丹江路与洛宁路交叉口西南角金裕中心3号楼1010室,是,,
72,郑州智澜电子科技有限公司,郑州市金水区国基路60号国家知识产权创意产业试点园区B座21层2103号,是,,
73,河南省哲浩电子技术有限公司,郑州市金水区信息学院路8号院3号楼1单元5层9号,是,,
74,河南华北水利水电勘察设计有限公司,郑州市金水区北环路36号,是,,
75,河南瑞远物流科技股份有限公司,郑州市高新区长椿路11号1号孵化楼818号,是,,
76,洛阳市甘霖生物技术有限公司,河南省洛阳市孟津区白鹤镇华阳产业集聚区黄河路102号,是,,
77,河南宏博测控技术有限公司,河南省郑州市金水区国基路60号国家知识产权创意产业试点园区B座23层,是,,
78,新乡市领先助剂有限公司,新乡经济技术开发区第五疃村村北,是,,
79,郑州锐力超硬材料有限公司,郑州高新技术产业开发区西四环228号12号楼6层08号,是,,
80,沈丘县新建建材商贸有限公司,周口市沈丘县赵德营镇洼刘营行政村,是,,
81,库课文化科技股份有限公司,郑州市金水区丰产路65号附5号河南省发展和改革委员会培训中心二号楼4层,是,,
82,郑州美硕智能装备有限公司,河南省郑州市荥阳市汜水镇清静沟001号,是,,
83,河南伟森科技有限公司,郑州市金水区郑汴路127号A区7号楼1单元1305室,是,,
84,郑州中兴三维科技有限公司,河南省郑州市上街区科学大道与兴业街交叉口东50米路南,是,,
85,河南小海带数据科技有限公司,河南省自贸试验区郑州片区（经开）航海东路1274号院4楼008室,是,,
86,焦作浩德科技有限公司,河南省焦作市中站区朱村街道办事处梅苑社区北会18号,是,,
87,河南锐力电力设备有限公司,河南省新乡市辉县市黄水乡小庄村66号,是,,
88,郑州天之蓝环保设备有限公司,河南省郑州市金水区福彩路1号山顶大厦17层1704号,是,,
89,河南天中骏驰汽车配件有限公司,河南省驻马店市驿城区汝宁路与东平路交叉口东南侧驻马店装备产业集聚区专用汽车零部件产业园九号厂房,是,,
90,河南政财软件科技有限公司,郑州市金水区经三路32号财富广场A座1702室,是,,
91,河南和谐石化科技有限公司,河南省郑州市中牟县姚家镇建设路与轩城大道向西200米路南（汽车工业园区）,是,,
92,郑州精通汽车零部件有限公司,郑州市高新区黄杨街52号4号楼1层04号,是,,
93,河南为阳教育科技集团有限公司,河南省新郑市龙湖镇文昌路1号,是,,
94,郑州备羽飞电子科技有限公司,河南省郑州市金水区东风路28号院21号楼3层302号,是,,
95,佳睿福钻石（河南）有限公司,河南省郑州市高新技术产业开发区郁香路37号13号楼2单元13层1301,是,,
96,河南豫科检测有限公司,河南省郑州市金水区花园路28号1号楼301室,是,,
97,河南启腾新材料有限公司,河南省自贸试验区郑州片区（郑东）普济路与福禄街交叉口连邦大厦2215号,是,,
98,洛阳百克特科技发展股份有限公司,中国（河南）自由贸易试验区洛阳片区高新技术开发区河洛路288号,是,,
99,郑州九方韵康生物科技有限公司,河南省郑州市高新技术产业开发区西三环路289号9号楼9层46号,是,,
100,郑州侨安电子技术有限公司,河南省郑州市金水区,是,,
101,河南中科彩铝科技有限公司,河南省信阳市商城县,是,,
102,河南测祥科技有限公司,河南省郑州市高新技术产业开发区,是,,
103,郑州赛欧思科技有限公司,河南省郑州市金水区,是,,
104,郑州联开电气设备有限公司,河南省郑州市二七区,是,,
105,河南省万安制动器有限公司,河南省新乡市原阳县,是,,
106,河南阿耀商贸有限公司,河南省安阳市文峰区,是,,
107,方城众邦生物科技有限公司,河南省南阳市方城县,是,,
108,中咨宏业工程顾问有限公司,河南省郑州市郑东新区,是,,
109,河南知蔬达理信息技术有限公司,河南省郑州市金水区,是,,
110,郑州春晖建材科技有限公司,河南省郑州市新郑市,是,,
111,郑州江宇水务工程有限公司,河南省郑州市金水区,是,,
112,河南能睿科技有限公司,河南省郑州市金水区,是,,
113,郑州固德机电设备有限公司,河南省郑州市荥阳市,是,,
114,郑州八通智能装备科技有限公司,河南省郑州市郑东新区,是,,
115,河南拓普计算机网络工程有限公司,河南省郑州市金水区,是,,
116,新乡市盛达新能源科技有限公司,河南省新乡市凤泉区,是,,
117,西峡县三胜新材料有限公司,河南省南阳市西峡县,是,,
118,郑州瑞意森新材料科技有限公司,河南省郑州市新密市,是,,
119,郑州维德利信息技术有限公司,河南省郑州市经济技术开发区,是,,
120,河南省电子规划研究院有限责任公司,河南省郑州市金水区,是,,
121,郑州贯奥仪器仪表有限公司,河南省郑州市高新技术产业开发区,是,,
122,焦作市高森建电子科技有限公司,河南省焦作市武陟县,是,,
123,新乡市宏阳防水材料有限公司,河南省新乡市新乡县,是,,
124,河南地晟通科技有限公司,河南省郑州市登封市,是,,
125,郑州市新郑豪门实业有限公司,河南省郑州市新郑市,是,,
126,河南省奶牛生产性能测定有限公司,河南省郑州市金水区,是,,
127,郑州昭阳电子科技有限公司,河南省郑州市金水区,是,,
128,河南骏朗信息技术有限责任公司,河南省郑州市郑东新区,是,,
129,河南军融民创科技发展有限公司,河南省郑州市二七区,是,,
130,郑州恒正电子科技有限公司,河南省郑州市航空港区,是,,
131,河南云鹏网络科技有限公司,河南省郑州市二七区,是,,
132,河南知汇电力技术有限公司,河南省郑州市金水区,是,,
133,河南能派会展科技有限公司,河南省郑州市金水区,是,,
134,鲁山亚星科技发展有限公司,河南省平顶山市鲁山县,是,,
135,中科盛世科技有限公司,河南省周口市川汇区,是,,
136,河南德熙生物研发科技有限公司,河南省新乡市红旗区,是,,
137,河南酷派三维科技有限公司,河南省郑州市新密市,是,,
138,河南澳美电气有限公司,河南省新乡市获嘉县,是,,
139,郑州利贞信息技术有限公司,河南省郑州市中原区,是,,
140,洛阳华媒云商科技有限公司,河南省洛阳市西工区,否,,"根据多家权威企业信息平台（如爱企查、启信宝、企查查、天眼查等）截至2026年4月至5月的公开资料：
该公司为洛阳报业传媒集团有限公司的全资子公司；洛阳报业传媒集团属于国有独资企业；
因此，洛阳华媒云商科技有限公司属于国有独资企业，即公有制企业。"
141,河南般诺信息科技有限公司,河南省新乡市长垣市,是,,
142,河南恒检检测有限公司,河南省郑州市高新技术产业开发区,是,,
143,河南省中原智能电气科技有限公司,河南省郑州市荥阳市,是,,
144,河南众友信息技术有限公司,河南省郑州市惠济区,是,,
145,郑州百启测绘有限公司,河南省郑州市高新技术产业开发区,是,,
146,新乡市华航滤清器有限公司,河南省新乡市卫滨区,是,,
147,河南航天金盾网络科技有限公司,河南省郑州市郑东新区,是,,
148,天华交通建设集团有限公司,河南省郑州市高新技术产业开发区,是,,
149,河南富亿达汽配股份有限公司,河南省漯河市临颍县,是,,
150,河南冠程实业有限公司,河南省郑州市金水区,是,,
151,河南联融供应链科技有限公司,河南省郑州市郑东新区,是,,
152,河南省商城县尔宏羽毛工艺有限公司,河南省信阳市商城县,是,,
153,河南润之智慧农业科技有限公司,河南省开封市顺河回族区,是,,
154,河南河大纳米材料工程研究中心有限公司,河南省济源市,否,,该公司由河南大学资产经营有限公司100%控股，而河南大学是教育部直属的公办高校，其资产经营公司代表学校行使出资人职责，属于国有独资企业
155,方泰达生物医药科技有限公司,河南省郑州市高新技术产业开发区,是,,
156,桐柏县玺康家居制品有限公司,河南省南阳市桐柏县,是,,
157,河南中安智科信息技术有限公司,河南省郑州市金水区,是,,
158,融和生物科技（河南）有限公司,河南省郑州市经济技术开发区,是,,
159,郑州高识智能科技有限公司,河南省郑州市二七区,是,,
160,河南省维新电力储能技术有限责任公司,河南省新乡市红旗区,是,,
161,凯迪建设集团有限公司,,,,
162,河南省环工生态技术有限公司,,,,
163,郑州鸿盛数码科技股份有限公司,,,,
164,河南掌联科技有限公司,,,,
165,河南高辉教育科技有限公司,,,,
166,河南竹林庆州耐火材料有限公司,,,,
167,河南卓正电子科技有限公司,,,,
168,河南中冠科技有限公司,,,,
169,郑州联华石化有限公司,,,,
170,河南贝因绩效评价咨询有限公司,,,,
171,河南天之辰物联网有限公司,,,,
172,河南省国财管业有限公司,,,,
173,河南瀚晟智能科技有限公司,,,,
174,郑州龙名网络科技有限公司,,,,
175,河南英华咨询有限公司,,,,
176,河南驿展科技有限公司,,,,
177,圣轩智能科技有限公司,,,,
178,河南省盛华重型起重机有限公司,,,,
179,河南志信科技有限公司,,,,
180,河南盘古科技发展有限公司,,,,
181,郑州水霸智能科技有限公司,,,,
182,河南小竹网络科技有限公司,,,,
183,伊飒尔体验云科技有限公司,,,,
184,河南掌门人珠宝有限公司,,,,
185,河南省天宇净化技术有限公司,,,,
186,河南省中企智控信息科技有限公司,,,,
187,信阳晟瑞食品有限公司,,,,
188,鹤壁天瑞石油支撑剂有限公司,,,,
189,河南全高农牧科技有限公司,,,,
190,原阳和成食用菌有限公司,,,,
191,河南海山建筑工程有限公司,,,,
192,河南宇宙流体科技有限公司,,,,
193,巩义市冠东金属科技有限公司,,,,
194,郑州航管科技有限公司,,,,
195,河南派亚尼尔自动化设备有限公司,,,,
196,祥晟科技有限公司,,,,
197,河南农先锋科技股份有限公司,,,,
198,河南中科国评科技研究院有限公司,,,,
199,郑州港迪科技有限公司,,,,
200,河南五七机械设备有限公司,,,,
201,河南强者管理集团有限公司,,,,
202,郑州智捷生物技术有限公司,,,,
203,河南去吧看看网络科技股份有限公司,,,,
204,河南正梵教育科技有限公司,,,,
205,河南华鹰机械设备有限公司,,,,
206,精华教育科技股份有限公司,,,,
207,郑州恒快信息技术有限公司,,,,
208,河南鹏嘉科技有限公司,,,,
209,郑州清格环保技术有限公司,,,,
210,河南豫盛达机械设备制造有限公司,,,,
211,郑州卫莱自动化设备有限公司,,,,
212,河南零和壹电子科技有限公司,,,,
213,河南能创电子科技有限公司,,,,
214,河南远望谷新能源科技有限公司,,,,
215,河南九盛畜牧科技有限公司,,,,
216,河南星聚科技服务有限公司,,,,
217,原阳县伟凡农机有限公司,,,,
218,郑州新悦医药科技有限公司,,,,
219,河南爱创广告有限公司,,,,
220,巩义市富轩机械制造有限公司,,,,
221,河南皆美信息技术有限公司,,,,
222,中弘源泽建设有限公司,,,,
223,郑州面道坊食品科技有限公司,,,,
224,洛阳天浩泰轨道装备制造有限公司,,,,
225,漯河恒丰机械制造科技有限公司,,,,
226,临颍县美本汽车部件有限公司,,,,
227,河南科尔微波科技有限公司,,,,
228,信阳市陆骐电子有限公司,,,,
229,河南亚龙金刚石制品股份有限公司,,,,
230,河南联源生物科技股份有限公司,,,,
231,河南中原科创高新技术研究院有限公司,,,,
232,郑州市同鼎机械设备有限公司,,,,
233,河南易交联新材料研究院有限公司,,,,
234,洛阳津达机械设备有限公司,,,,
235,河南松骨峰智能科技有限公司,,,,
236,河南井田油料有限公司,,,,
237,洛阳盛嘉新材料有限公司,,,,
238,河南车邦汽车用品制造有限公司,,,,
239,郑州鼎为实业有限公司,,,,
240,河南红宇特种汽车有限公司,,,,
241,河南誉满鑫环保科技有限公司,,,,
242,河南双鑫消防设备制造股份有限公司,,,,
243,鹤壁市煤化机械有限责任公司,,,,
244,河南斯凯特汽车技术有限公司,,,,
245,郑州长与青网络科技有限公司,,,,
246,青天伟业仪器仪表有限公司,,,,
247,洛阳汇成钢结构有限公司,,,,
248,郑州金海威科技实业有限公司,,,,
249,郑州锦丰纸箱包装有限公司,,,,
250,宗源生态肥业有限公司,,,,
251,河南锐锋金刚石制品有限公司,,,,
252,河南省大华电力设备制造有限公司,,,,
253,河南艺博彩印有限公司,,,,
254,河南省风速科技有限公司,,,,
255,河南原动力耐火材料科技有限公司,,,,
256,河南合智医药科技有限公司,,,,
257,鹤壁市华美电气有限公司,,,,
258,新乡市博观智能工业有限公司,,,,
259,河南创力新能源科技股份有限公司,,,,
260,漯河市罗弗文具制造有限公司,,,,
261,河南天华教育科技有限公司,,,,
262,河南锐众新材料科技有限公司,,,,
263,洛阳拓维信息技术有限公司,,,,
264,河南赞果网络科技有限公司,,,,
265,郑州金鼓通信技术有限公司,,,,
266,南阳木兰花家纺股份有限公司,,,,
267,郑州环瑞油脂利用有限公司,,,,
268,河南精诚勘测规划设计有限公司,,,,
269,郑州飞鱼设计有限公司,,,,
270,郑州时享电子技术有限公司,,,,
271,新乡市华泰制冷有限公司,,,,
272,郑州昊诚超硬工具有限公司,,,,
273,夏邑县久福粉业有限公司,,,,
274,汝州市利佰佳绣品有限公司,,,,
275,新乡市昆仑筛分机械设计有限公司,,,,
276,河南恒宇科技有限公司,,,,
277,河南康隆食业有限公司,,,,
278,河南惠斯勒信息科技有限公司,,,,
279,南阳龙辉环保科技有限公司,,,,
280,新乡市福晟机械有限公司,,,,
281,河南省瑞泰科实业集团有限公司,,,,
282,河南省优品家居楼梯有限公司,,,,
283,河南元丰科技网络股份有限公司,,,,
284,新乡市同创航空科技有限公司,,,,
285,武陟一村食品有限公司,,,,
286,河南思朗信息科技有限公司,,,,
287,三门峡强芯铸造材料有限公司,,,,
288,安阳中科工程检测有限公司,,,,
289,中原动力智能机器人有限公司,,,,
290,河南五一新材料有限公司,,,,
291,南阳市利民科技开发有限公司,,,,
292,郑州诺科精密科技有限公司,,,,
293,新乡市亿龙养护设备有限公司,,,,
294,河南鑫科徕铝业有限公司,,,,
295,漯河创想源生物科技有限公司,,,,
296,河南省厚朴环保科技有限公司,,,,
297,许昌中发耐磨材料研究所有限公司,,,,
298,林州正宝重工装备制造有限公司,,,,
299,郑州圣闰电力科技有限公司,,,,
300,河南省维仕特智能技术有限公司,,,,
301,洛阳鼎辉特钢制品股份有限公司,,,,
302,河南新正方彩印有限公司,,,,
303,郑州核桃科技有限公司,,,,
304,河南迪思实业有限公司,,,,
305,郑州德派医疗器械有限公司,,,,
306,鹤壁市瑞丰电器有限公司,,,,
307,郑州豫鑫电气控制技术有限公司,,,,
308,河南大新药业有限公司,,,,
309,漯河泰诺冶金设备有限公司,,,,
310,河南沃丰农业开发有限公司,,,,
311,河南迈纳净化技术有限公司,,,,
312,新乡市润辉生物科技发展有限公司,,,,
313,河南芝元堂智能设备有限公司,,,,
314,河南鸿唐网络科技有限公司,,,,
315,鹤壁聚匠电气有限公司,,,,
316,禹州七方超硬材料制品有限公司,,,,
317,河南瑞通电气科技有限公司,,,,
318,河南晟瑞源工程装备制造有限公司,,,,
319,洛阳源森机械有限公司,,,,
320,河南兴华粮油机械有限公司,,,,
321,河南天蛟铝业有限公司,,,,
322,河南省机械院机械装备股份有限公司,,,,
323,郑州和济生物科技股份有限公司,,,,
324,漯河金顶环保能源技术开发有限公司,,,,
325,新乡市新东轻工机械有限公司,,,,
326,河南省康星常笑动物药业有限公司,,,,
327,焦作市为您康调味品有限公司,,,,
328,河南力行信息技术有限公司,,,,
329,河南知子网络科技有限公司,,,,
330,信阳市德隆超硬材料有限公司,,,,
331,河南联邦种业有限公司,,,,
332,洛阳联创锂能科技有限公司,,,,
333,河南颍川新材料股份有限公司,,,,
334,河南妙极药业有限公司,,,,
335,郑州智星网络科技有限公司,,,,
336,郑州佳川环保科技有限公司,,,,
337,河南省康星药业股份有限公司,,,,
338,鹤壁万润电气有限公司,,,,
339,河南中航北工智能装备有限公司,,,,
340,洛阳腾和达智能装备有限公司,,,,
